dataset,top_n,gene_mode,gene_id,fold,modality,f1
LINCS,15,random,rand3,4,Early Fusion,0.1690727727683144
LINCS,15,random,rand3,4,Late Fusion,0.17417254605973034
LINCS,15,random,rand4,4,CP,0.16795134500465914
LINCS,15,random,rand4,4,GE,0.09931579437106382
LINCS,15,random,rand4,4,Early Fusion,0.16645633938672008
LINCS,15,random,rand4,4,Late Fusion,0.1802289283099508
LINCS,15,random,rand5,4,CP,0.16795134500465914
LINCS,15,random,rand5,4,GE,0.018786757677732458
LINCS,15,random,rand5,4,Early Fusion,0.1565318582346446
LINCS,15,random,rand5,4,Late Fusion,0.16877978834789087
LINCS,15,ranked,r0,5,CP,0.268721001097659
LINCS,15,ranked,r0,5,GE,0.2177065668250739
LINCS,15,ranked,r0,5,Early Fusion,0.28055569693475474
LINCS,15,ranked,r0,5,Late Fusion,0.3030404212066445
LINCS,15,random,rand1,5,CP,0.268721001097659
LINCS,15,random,rand1,5,GE,0.11878031139750164
LINCS,15,random,rand1,5,Early Fusion,0.26521697668641825
LINCS,15,random,rand1,5,Late Fusion,0.2863736357881238
LINCS,15,random,rand2,5,CP,0.268721001097659
LINCS,15,random,rand2,5,GE,0.13052646736420032
LINCS,15,random,rand2,5,Early Fusion,0.2689510598769858
LINCS,15,random,rand2,5,Late Fusion,0.2703484224468057
LINCS,15,random,rand3,5,CP,0.268721001097659
LINCS,15,random,rand3,5,GE,0.12764963741803756
LINCS,15,random,rand3,5,Early Fusion,0.2694874160789767
LINCS,15,random,rand3,5,Late Fusion,0.2962539856988997
LINCS,15,random,rand4,5,CP,0.268721001097659
LINCS,15,random,rand4,5,GE,0.11823244522519885
LINCS,15,random,rand4,5,Early Fusion,0.26664691388346934
LINCS,15,random,rand4,5,Late Fusion,0.2878939510879855
LINCS,15,random,rand5,5,CP,0.268721001097659
LINCS,15,random,rand5,5,GE,0.054951601069097876
LINCS,15,random,rand5,5,Early Fusion,0.27201507099878114
LINCS,15,random,rand5,5,Late Fusion,0.2785703583316455
LINCS,20,ranked,r0,1,CP,0.1469266921444308
LINCS,20,ranked,r0,1,GE,0.15803683666955975
LINCS,20,ranked,r0,1,Early Fusion,0.17197276983652182
LINCS,20,ranked,r0,1,Late Fusion,0.15847614756980596
LINCS,20,random,rand1,1,CP,0.1469266921444308
LINCS,20,random,rand1,1,GE,0.1189930263654271
LINCS,20,random,rand1,1,Early Fusion,0.15946407336190868
LINCS,20,random,rand1,1,Late Fusion,0.159819581558304
LINCS,20,random,rand2,1,CP,0.1469266921444308
LINCS,20,random,rand2,1,GE,0.0706933073526985
LINCS,20,random,rand2,1,Early Fusion,0.15036507861884155
LINCS,20,random,rand2,1,Late Fusion,0.15170145389825024
LINCS,20,random,rand3,1,CP,0.1469266921444308
LINCS,20,random,rand3,1,GE,0.0925363599247242
LINCS,20,random,rand3,1,Early Fusion,0.1605973897209964
LINCS,20,random,rand3,1,Late Fusion,0.1586228912201452
LINCS,20,random,rand4,1,CP,0.1469266921444308
LINCS,20,random,rand4,1,GE,0.07796310137057057
LINCS,20,random,rand4,1,Early Fusion,0.15548378823072842
LINCS,20,random,rand4,1,Late Fusion,0.15344505158696164
LINCS,20,random,rand5,1,CP,0.1469266921444308
LINCS,20,random,rand5,1,GE,0.08433039071511853
LINCS,20,random,rand5,1,Early Fusion,0.1479037942915027
LINCS,20,random,rand5,1,Late Fusion,0.15007615778787844
LINCS,20,ranked,r0,2,CP,0.14499424699491112
LINCS,20,ranked,r0,2,GE,0.1376444812339131
LINCS,20,ranked,r0,2,Early Fusion,0.16181686522380528
LINCS,20,ranked,r0,2,Late Fusion,0.16793938531444758
LINCS,20,random,rand1,2,CP,0.14499424699491112
LINCS,20,random,rand1,2,GE,0.07642068072736019
LINCS,20,random,rand1,2,Early Fusion,0.14465312260047386
LINCS,20,random,rand1,2,Late Fusion,0.1526766083548418
LINCS,20,random,rand2,2,CP,0.14499424699491112
LINCS,20,random,rand2,2,GE,0.06879482611297419
LINCS,20,random,rand2,2,Early Fusion,0.155498131937422
LINCS,20,random,rand2,2,Late Fusion,0.16523740524238614
LINCS,20,random,rand3,2,CP,0.14499424699491112
LINCS,20,random,rand3,2,GE,0.06618647902783355
LINCS,20,random,rand3,2,Early Fusion,0.16344211119853766
LINCS,20,random,rand3,2,Late Fusion,0.15364847210273075
LINCS,20,random,rand4,2,CP,0.14499424699491112
LINCS,20,random,rand4,2,GE,0.06685694256672174
LINCS,20,random,rand4,2,Early Fusion,0.1409680777205755
LINCS,20,random,rand4,2,Late Fusion,0.14144411456439485
LINCS,20,random,rand5,2,CP,0.14499424699491112
LINCS,20,random,rand5,2,GE,0.06009303879641499
LINCS,20,random,rand5,2,Early Fusion,0.14192715801548608
LINCS,20,random,rand5,2,Late Fusion,0.13687456916809923
LINCS,20,ranked,r0,3,CP,0.2807634721556302
LINCS,20,ranked,r0,3,GE,0.28007337847917557
LINCS,20,ranked,r0,3,Early Fusion,0.3300119181562146
LINCS,20,ranked,r0,3,Late Fusion,0.30497429991024466
LINCS,20,random,rand1,3,CP,0.2807634721556302
LINCS,20,random,rand1,3,GE,0.193214125099597
LINCS,20,random,rand1,3,Early Fusion,0.2861115788404037
LINCS,20,random,rand1,3,Late Fusion,0.28493210056064494
LINCS,20,random,rand2,3,CP,0.2807634721556302
LINCS,20,random,rand2,3,GE,0.14707574051664427
LINCS,20,random,rand2,3,Early Fusion,0.2937945456968358
LINCS,20,random,rand2,3,Late Fusion,0.2762026449952332
LINCS,20,random,rand3,3,CP,0.2807634721556302
LINCS,20,random,rand3,3,GE,0.16639411502554097
LINCS,20,random,rand3,3,Early Fusion,0.29275701874671317
LINCS,20,random,rand3,3,Late Fusion,0.2841425278145505
LINCS,20,random,rand4,3,CP,0.2807634721556302
LINCS,20,random,rand4,3,GE,0.17453309288410032
LINCS,20,random,rand4,3,Early Fusion,0.298536462237477
LINCS,20,random,rand4,3,Late Fusion,0.29372051447693615
LINCS,20,random,rand5,3,CP,0.2807634721556302
LINCS,20,random,rand5,3,GE,0.14829926114241812
LINCS,20,random,rand5,3,Early Fusion,0.29703762979008425
LINCS,20,random,rand5,3,Late Fusion,0.28563084443721354
LINCS,20,ranked,r0,4,CP,0.16795134500465914
LINCS,20,ranked,r0,4,GE,0.12793623342598798
LINCS,20,ranked,r0,4,Early Fusion,0.17249470430306163
LINCS,20,ranked,r0,4,Late Fusion,0.18540067889310952
LINCS,20,random,rand1,4,CP,0.16795134500465914
LINCS,20,random,rand1,4,GE,0.07549976245941663
LINCS,20,random,rand1,4,Early Fusion,0.17595578456061528
LINCS,20,random,rand1,4,Late Fusion,0.17154158574047948
LINCS,20,random,rand2,4,CP,0.16795134500465914
LINCS,20,random,rand2,4,GE,0.061005742581494
LINCS,20,random,rand2,4,Early Fusion,0.16567818988568267
LINCS,20,random,rand2,4,Late Fusion,0.16800631535157282
LINCS,20,random,rand3,4,CP,0.16795134500465914
LINCS,20,random,rand3,4,GE,0.07836365045476225
LINCS,20,random,rand3,4,Early Fusion,0.18000278514649817
LINCS,20,random,rand3,4,Late Fusion,0.16633425338717864
LINCS,20,random,rand4,4,CP,0.16795134500465914
LINCS,20,random,rand4,4,GE,0.08022063007429675
LINCS,20,random,rand4,4,Early Fusion,0.1765187300499979
LINCS,20,random,rand4,4,Late Fusion,0.1767332131525215
LINCS,20,random,rand5,4,CP,0.16795134500465914
LINCS,20,random,rand5,4,GE,0.07040945221033729
LINCS,20,random,rand5,4,Early Fusion,0.17521429422801413
LINCS,20,random,rand5,4,Late Fusion,0.17143444634961785
LINCS,20,ranked,r0,5,CP,0.268721001097659
