Metadata_pert_id,Compound,Compound_Category,Metadata_target,Metadata_mmoles_per_liter
BRD-K36007650,puromycin,protein synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1",1.8367785666456
BRD-K36055864,,protein synthesis inhibitor,,5.0
BRD-K36965586,m-Chlorophenylbiguanide,serotonin receptor agonist,"HTR3A, HTR3B",5.0
BRD-K38305202,domperidone,dopamine receptor antagonist,"DRD2, DRD3",5.0
BRD-K38775274,dexamethasone,glucocorticoid receptor agonist,"ANXA1, NOS2, NR0B1, NR3C1, NR3C2",6.37005867439642
BRD-K39188321,betamethasone,glucocorticoid receptor agonist,NR3C1,2.54802346975857
BRD-A01320529,salmeterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A01787639,naftopidil,adrenergic receptor antagonist,ADRA1A,5.0
BRD-A04322457,isoprenaline,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",5.0
BRD-A04438777,,dopamine receptor agonist,,5.0
BRD-A09094913,strychnine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA1, GLRA2, GLRA3, GLRB",5.0
BRD-A09467419,mebeverine,acetylcholine receptor antagonist,CHRM1,2.14587651373348
BRD-A10070317,propranolol,adrenergic receptor antagonist,,5.0
BRD-A10739734,efaroxan,adrenergic receptor antagonist,ADORA2A,5.0
BRD-A14566392,scopolamine,acetylcholine receptor antagonist,"CHRM2, CHRM1, CHRM3, CHRM4, CHRM",5.0
BRD-A17065207,brefeldin-a,protein synthesis inhibitor,"ARF1, ARFGEF1, ARFGEF2, CYTH2, GBF1, SAR1A",5.0
BRD-A18696154,idazoxan,adrenergic receptor antagonist,ADRA2A,5.0
BRD-A22380646,,ATPase inhibitor,,5.0
BRD-A22684332,procaterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A23034328,clindamycin,protein synthesis inhibitor,,2.1671103897426702
BRD-A23683907,NAS-181,serotonin receptor antagonist,HTR1B,5.0
BRD-A24587114,,adrenergic receptor agonist,"ADRB1, ADRB2",2.98136882990814
BRD-A26222320,puromycin,protein synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1",5.30211943104611
BRD-A28856712,,adrenergic receptor agonist,,5.0
BRD-A29260609,acebutolol,adrenergic receptor antagonist,"ADRB1, ADRB2",5.0
BRD-A30717181,,glucocorticoid receptor agonist,"CYP3A5, CYP3A7, NR3C1, SERPINA6",5.0
BRD-A31800922,procyclidine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4",5.0
BRD-A34806832,,ATPase inhibitor,ATP1A1,1.88448243293014
BRD-A35931254,,dopamine receptor agonist,"DRD1, DRD2, DRD3",5.0
BRD-A37432947,ipratropium,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",2.41914585572253
BRD-A37441042,tulobuterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A40022950,,ATPase inhibitor,,5.0
BRD-A44551378,,EGFR inhibitor,EGFR,5.0
BRD-A01320529,salmeterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A01787639,naftopidil,adrenergic receptor antagonist,ADRA1A,5.0
BRD-A04322457,isoprenaline,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",5.0
BRD-A04438777,,dopamine receptor agonist,,5.0
BRD-A09094913,strychnine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA10, CHRNA9, GLRA1, GLRA2, GLRA3, GLRB",5.0
BRD-A09467419,mebeverine,acetylcholine receptor antagonist,CHRM1,2.14587651373348
BRD-A10070317,propranolol,adrenergic receptor antagonist,,5.0
BRD-A10739734,efaroxan,adrenergic receptor antagonist,ADORA2A,5.0
BRD-A14566392,scopolamine,acetylcholine receptor antagonist,"CHRM2, CHRM1, CHRM3, CHRM4, CHRM",5.0
BRD-A17065207,brefeldin-a,protein synthesis inhibitor,"ARF1, ARFGEF1, ARFGEF2, CYTH2, GBF1, SAR1A",5.0
BRD-A18696154,idazoxan,adrenergic receptor antagonist,ADRA2A,5.0
BRD-A22380646,,ATPase inhibitor,,5.0
BRD-A22684332,procaterol,adrenergic receptor agonist,ADRB2,5.0
BRD-A23034328,clindamycin,protein synthesis inhibitor,,2.1671103897426702
BRD-A23683907,NAS-181,serotonin receptor antagonist,HTR1B,5.0
BRD-A24587114,,adrenergic receptor agonist,"ADRB1, ADRB2",2.98136882990814
