dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
CDRP-bio,200,random,Late Fusion,0.27266666666666667,0.07119190288956347,0.2379588871446014,0.0634167321215412,,,0.49473333333333336,0.0999776363882332
CDRP-bio,200,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,200,ranked,Early Fusion,0.30966666666666665,0.07118442401412137,0.25663324770467627,0.05970953916147395,,,0.537,0.11355615351005863
CDRP-bio,200,ranked,GE,0.23700000000000002,0.07767811074484812,0.1968847025989883,0.057042518514420396,,,0.44800000000000006,0.0807465169527454
CDRP-bio,200,ranked,Late Fusion,0.2776666666666666,0.09252327034619755,0.24645956160241872,0.0700300029488097,,,0.529,0.11981235328629516
CDRP-bio,200,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,200,wilcoxon_union,Early Fusion,0.30966666666666665,0.06532397892215555,0.26256565656565656,0.05569878409275042,,,0.577,0.11659759860305874
CDRP-bio,200,wilcoxon_union,GE,0.31766666666666665,0.07996179643360252,0.27723361162646876,0.09600258904882304,,,0.49733333333333335,0.1192953850276233
CDRP-bio,200,wilcoxon_union,Late Fusion,0.302,0.08892412496055276,0.26520786092214665,0.08038101693277176,,,0.577,0.11659759860305874
CDRP-bio,25,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,25,random,Early Fusion,0.254,0.044247828990475566,0.21470935374149658,0.04301465269882272,,,0.46386666666666665,0.08884901883615906
CDRP-bio,25,random,GE,0.12513333333333335,0.06845504066606485,0.10727543461829175,0.05298308841680971,,,0.3078,0.07398029016794495
CDRP-bio,25,random,Late Fusion,0.25780000000000003,0.06581525771542757,0.2336674704924705,0.046982162735957844,,,0.4686666666666667,0.0985942865146522
CDRP-bio,25,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,25,ranked,Early Fusion,0.2526666666666667,0.03916843967618148,0.21228325774754345,0.0475052813995195,,,0.472,0.10766718266130225
CDRP-bio,25,ranked,GE,0.23666666666666666,0.08241999487718714,0.17646428571428568,0.04041646309102402,,,0.48233333333333334,0.19068443973107915
CDRP-bio,25,ranked,Late Fusion,0.2693333333333333,0.067439273094804,0.23105753968253967,0.05587179850343387,,,0.45633333333333337,0.1384457374649802
CDRP-bio,25,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,25,wilcoxon_union,Early Fusion,0.26833333333333337,0.022110831935702686,0.22615873015873014,0.026175175906023293,,,0.5046666666666667,0.0959629558157151
CDRP-bio,25,wilcoxon_union,GE,0.2856666666666666,0.100675496301511,0.2501989795918367,0.05380438767541281,,,0.4640000000000001,0.08173126696681018
CDRP-bio,25,wilcoxon_union,Late Fusion,0.28500000000000003,0.06041522986797287,0.2446137566137566,0.03825617094655825,,,0.5293333333333333,0.11562391140628692
CDRP-bio,30,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,30,random,Early Fusion,0.24633333333333332,0.05067141790588252,0.2245840920983778,0.03620520582428971,,,0.48486666666666667,0.10312133270695865
CDRP-bio,30,random,GE,0.12179999999999999,0.07161968744437266,0.09866935286935286,0.04818633643566144,,,0.3044,0.08405641844309975
CDRP-bio,30,random,Late Fusion,0.25126666666666664,0.06735457585709295,0.23037515989301702,0.04865115174911098,,,0.46880000000000005,0.1015294155514658
CDRP-bio,30,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,30,ranked,Early Fusion,0.23700000000000002,0.07234562107611552,0.21173696145124715,0.05876947921592767,,,0.472,0.13539756275502154
CDRP-bio,30,ranked,GE,0.21200000000000002,0.08088400473654987,0.1604189342403628,0.0345033052342342,,,0.4653333333333333,0.14652644812456217
CDRP-bio,30,ranked,Late Fusion,0.269,0.05093023550788753,0.2409424603174603,0.04913233380653873,,,0.46366666666666667,0.11786527148495533
CDRP-bio,30,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,30,wilcoxon_union,Early Fusion,0.261,0.051902686721294965,0.22557823129251703,0.040830838784406014,,,0.5126666666666667,0.10788754433307962
CDRP-bio,30,wilcoxon_union,GE,0.20400000000000001,0.07809004773692711,0.17882766439909298,0.06033658865875053,,,0.44833333333333336,0.08364940060886403
CDRP-bio,30,wilcoxon_union,Late Fusion,0.28500000000000003,0.05338539126015656,0.25760978835978837,0.02587900830427409,,,0.505,0.12184917817622824
CDRP-bio,300,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,300,random,Early Fusion,0.2838,0.06603786792439621,0.24144139458425173,0.05772792159335549,,,0.5055333333333334,0.08260616065268844
CDRP-bio,300,random,GE,0.185,0.08132154969283632,0.1469689327867899,0.06246009880827767,,,0.3521333333333333,0.08249090858997735
